Compound,Tc,Magnetism,Inversed,Moment,Cell_Parameter,mean_CovalentRadius,maxdiff_CovalentRadius,mean_Density,mean_FirstIonizationEnergy,dev_Polarizability,mean_phi,maxdiff_phi,mean_Column,maxdiff_Column,dev_Column,mean_GSenergy_pa,mean_GSmagmom,maxdiff_MendeleevNumber,mean_Number,maxdiff_Number,mean_NUnfilled,dev_NUnfilled,mean_NValance,dev_NValance,mean_NdValence,maxdiff_NdValence,mean_NdUnfilled,maxdiff_NdUnfilled,max_NdUnfilled,frac_sValence,frac_pValence,frac_dValence,frac_fValence,J sum,L sum,S sum,X_Type,Y_Type,Z_Type,Type(XY),Type(XZ),Type(YZ),Type,J(X),J(Y),J(Z),L(X),L(Y),L(Z),S(X),S(Y),S(Z),S(XY),S(XZ),S(YZ),L(XY),L(XZ),L(YZ),J(XY),J(XZ),J(YZ),Jg sum,C(T),C(FM),C(AFM),J(T),S(T),Val(T),J(FM),S(FM),L(FM),Val(FM),R(FM),J(AFM),S(AFM),L(AFM),Val(AFM),R(AFM),EN(X),EN(Y),EN(Z),Z(X),Z(Y),Z(Z),M(X),M(Y),M(Z),Val(X),Val(Y),Val(Z),R(X),R(Y),R(Z),Group(X),Group(Y),Group(Z),Unfilled(X),Unfilled(Z),EN(XY),EN(XZ),EN(YZ),Z(XY),Z(XZ),Z(YZ),M(XY),M(XZ),M(YZ),Val(XY),Val(XZ),Val(YZ),R(XY),R(XZ),R(YZ),Group(XY),Group(XZ),Group(YZ),Unfilled(XY),Unfilled(XZ),Unfilled(YZ),EN sum,Z sum,M sum,Val sum,R sum,Group sum,Unfilled sum,GSmom(XY),GSmom(XZ),GSmom(YZ),GSmom sum,GSmom(AB),GSmom(AC),GSmom(BD),GSmom(CD),EN(AB),EN(AC),EN(BD),EN(CD),Val(AB),Val(AC),Val(BD),Val(CD),Unf(AB),Unf(AC),Unf(BD),Unf(CD),J(AB),J(AC),J(BD),J(CD),R(AB),R(AC),R(BD),R(CD),M(AB),M(AC),M(BD),M(CD),L(AB),L(AC),L(BD),L(CD),S(AB),S(AC),S(BD),S(CD),d(XX)
Fe2CoGa,1165,1,1,6.0202955,5.767,128,10,7638,7.42127775,0.3025,4.765,1,9.5,5,1.75,-6.6659032919,1.4424492,19,27.5,5,4,0.5,9.5,1.75,7.25,4,2.75,4,9,0.2105263158,0.0263157895,0.7631578947,0,13,8,6,3,3,1,0,2,2,1,4,4.5,0.5,2,3,1,2,1.5,0.5,0.5,1.5,1,1,1,2,0.5,3.5,4,0,0.709905954616839,0.709905954616839,0,8.5,3.5,17,8.5,3.5,5,17,280,0,0,0,0,0,1.83,1.88,1.81,26,27,31,61,64,81,8,9,3,142,138,122,8,9,13,2,0,0.05,0.02,0.07,1,5,4,3,20,17,1,5,6,4,20,16,1,5,4,2,2,0,7.35,110,267,28,544,38,4,0.5621916,2.1106628,1.5484712,5.7697968,2.1106628,1.829567,1.0553314,0.7742356,1.83,1.855,1.82,1.845,8,8.5,5.5,6,2,1,1,0,4,4.25,2.25,2.5,142,140,132,130,61,62.5,71,72.5,2,2.5,1.5,2,2,1.75,1.25,1,2.8835
Fe2CoGe,925,1,0,5.2258913,5.775,127.5,12,7492.75,7.89631,0.865,4.8775,0.55,9.75,6,2.125,-7.0668493525,1.4424492,24,27.75,6,3.75,0.375,9.75,2.125,7.25,4,2.75,4,5,0.2051282051,0.0512820513,0.7435897436,0,12.5,8,6.5,3,3,1,0,2,2,1,4,4.5,0,2,3,1,2,1.5,1,0.5,1,0.5,1,1,2,0.5,4,4.5,0,0.701393381764964,0.701393381764964,0,8.5,3.5,17,8.5,3.5,5,17,280,0,0,0,0,0,1.83,1.88,2.01,26,27,32,61,64,84,8,9,4,142,138,120,8,9,14,2,0,0.05,0.18,0.13,1,6,5,3,23,20,1,4,5,4,22,18,1,6,5,2,2,0,7.55,111,270,29,542,39,4,0.5621916,2.1106628,1.5484712,5.7697968,1.829567,2.1106628,0.7742356,1.0553314,1.855,1.83,1.945,1.92,8.5,8,6.5,6,1,2,0,1,4.25,4,2.25,2,140,142,129,131,62.5,61,74,72.5,2.5,2,2,1.5,1.75,2,1.25,1.5,2.8875
Fe2GaNi,586,1,0,4.6445606,5.78,127.5,10,7640,7.36097525,0.565,4.79,1.1,9.75,5,1.75,-6.2823871481,1.204180075,19,27.75,5,3.75,0.875,9.75,1.75,7.5,4,2.5,4,0,0.2051282051,0.0256410256,0.7692307692,0,12.5,8,5.5,3,3,1,0,2,2,1,4,4,0.5,2,3,1,2,1,0.5,1,1.5,0.5,1,1,2,0,3.5,3.5,0,0.709616236801685,0.709616236801685,0,8,3,18,8,3,5,18,266,0,0,0,0,0,1.83,1.91,1.81,26,28,31,61,67,81,8,10,3,142,124,122,8,10,13,2,0,0.08,0.02,0.1,2,5,3,6,20,14,2,5,7,18,20,2,2,5,3,2,2,0,7.38,111,270,29,530,39,4,1.5152681,2.1106628,0.5953947,4.8167203,1.35302875,2.1106628,0.29769735,1.0553314,1.87,1.83,1.86,1.82,9,8,6.5,5.5,1,2,0,1,4,4,2.25,2.25,133,142,123,132,64,61,74,71,2.5,2,2,1.5,1.5,2,0.75,1.25,2.89
Fe2MnSi,214,1,0,3.0004512,5.663,128.5,28,6387,7.847625,1.20125,4.7525,0.48,9.25,7,2.375,-7.7541129938,1.0554089302,26,22.75,12,4.25,0.375,6.75,1.375,4.25,6,3.25,5,4,0.2962962963,0.0740740741,0.6296296296,0,10.5,5,7.5,3,3,1,0,2,2,1,4,2.5,0,2,0,1,2,2.5,1,0.5,1,1.5,2,1,1,1.5,4,2.5,0,0.855759906173964,0.573611866601268,0.282148039572696,6.5,4.5,15,4,2,2,8,142,2.5,2.5,0,7,150,1.83,1.55,1.9,26,25,14,61,60,85,8,7,4,142,150,111,8,7,14,2,0,0.28,0.07,0.35,1,12,11,1,24,25,1,4,3,8,31,39,1,6,7,1,2,3,7.11,91,267,27,545,37,7,2.11035267931034,2.1106628,0.000310120689655,4.22163572068966,1.05548646034483,2.1106628,0.000155060344828,1.0553314,1.69,1.83,1.725,1.865,7.5,8,5.5,6,2.5,2,1.5,1,3.25,4,1.25,2,146,142,130.5,126.5,60.5,61,72.5,73,1,2,0.5,1.5,2.25,2,1.75,1.5,2.8315
Fe2SnV,200,1,0,0.9271715,5.959,139,21,7292,7.4737275,1.6675,4.565,0.78,8.75,9,2.625,-7.367819125,1.0553314,34,31.25,27,4.75,1.125,8.75,2.625,6.25,7,3.75,7,0,0.2285714286,0.0571428571,0.7142857143,0,9.5,8,6.5,3,3,1,0,2,2,1,4,1.5,0,2,3,1,2,1.5,1,0.5,1,0.5,1,1,2,2.5,4,1.5,0,0.396990845644883,0.396990845644883,0,4,2,8,4,2,2,8,142,0,0,0,0,0,1.83,1.63,1.96,26,23,50,61,54,83,8,5,4,142,153,139,8,5,14,2,0,0.2,0.13,0.33,3,24,27,7,22,29,3,4,1,11,3,14,3,6,9,3,2,5,7.25,125,259,25,576,35,9,2.1106628,2.1106628,0,4.2213256,1.0553314,2.1106628,0,1.0553314,1.73,1.83,1.795,1.895,6.5,8,4.5,6,3.5,2,2.5,1,2.75,4,0.75,2,147.5,142,146,140.5,57.5,61,68.5,72,2.5,2,2,1.5,1.75,2,1.25,1.5,2.9795
Fe3Al,713,1,0,5.9636913,5.79,129.25,11,6580.5,7.423242,0.6,4.7475,0.73,9.25,5,1.875,-7.15046905,1.5829971,18,22.75,13,4.25,0.375,6.75,1.875,4.5,6,3,4,6,0.2962962963,0.037037037,0.6666666667,0,24.5,13,12.5,3,1,3,2,0,2,6,4,0.5,4,2,1,2,2,0.5,2,1.5,0,1.5,1,0,1,3.5,0,3.5,0,0.86128923126951,0.86128923126951,0,4,2,8,4,2,2,8,142,0,0,0,0,0,1.83,1.61,1.83,26,13,26,61,80,61,8,3,8,142,121,142,8,13,8,2,2,0.22,0,0.22,13,0,13,19,0,19,5,0,5,21,0,21,5,0,5,2,0,2,10.98,156,366,48,852,48,12,2.1106628,0,2.1106628,12.6639768,1.0553314,2.1106628,1.0553314,2.1106628,1.72,1.83,1.72,1.83,5.5,8,5.5,8,1,2,1,2,2.25,4,2.25,4,131.5,142,131.5,142,70.5,61,70.5,61,1.5,2,1.5,2,1.25,2,1.25,2,2.50714354395595
Fe3Ge,740,1,0,5.4497556,5.75,129,12,7236.25,7.9016575,0.96,4.835,0.38,9.5,6,2.25,-7.3681231563,1.5829971,24,27.5,6,4,0,9.5,2.25,7,4,3,4,0,0.2105263158,0.0526315789,0.7368421053,0,24,13,13,3,1,3,2,0,2,6,4,0,4,2,1,2,2,1,2,1,0,1,1,0,1,4,0,4,0,0.697553866971999,0.697553866971999,0,4,2,8,4,2,2,8,142,0,0,0,0,0,1.83,2.01,1.83,26,32,26,61,84,61,8,4,8,142,120,142,8,14,8,2,2,0.18,0,0.18,6,0,6,23,0,23,4,0,4,22,0,22,6,0,6,2,0,2,10.98,156,366,48,852,48,12,2.1106628,0,2.1106628,12.6639768,1.0553314,2.1106628,1.0553314,2.1106628,1.92,1.83,1.92,1.83,6,8,6,8,1,2,1,2,2,4,2,4,131,142,131,142,72.5,61,72.5,61,1.5,2,1.5,2,1.5,2,1.5,2,2.48982303588026
Fe3Si,820,1,0,5.0455819,5.644,126.75,21,6488,7.96472,1.07625,4.8725,0.23,9.5,6,2.25,-7.5703427713,1.5829971,23,23,12,4,0,7,1.5,4.5,6,3,4,0,0.2857142857,0.0714285714,0.6428571429,0,24,13,13,3,1,3,2,0,2,6,4,0,4,2,1,2,2,1,2,1,0,1,1,0,1,4,0,4,0,0.856428646281959,0.856428646281959,0,4,2,8,4,2,2,8,142,0,0,0,0,0,1.83,1.9,1.83,26,14,26,61,85,61,8,4,8,142,111,142,8,14,8,2,2,0.07,0,0.07,12,0,12,24,0,24,4,0,4,31,0,31,6,0,6,2,0,2,10.98,156,366,48,852,48,12,2.1106628,0,2.1106628,12.6639768,1.0553314,2.1106628,1.0553314,2.1106628,1.865,1.83,1.865,1.83,6,8,6,8,1,2,1,2,2,4,2,4,126.5,142,126.5,142,73,61,73,61,1.5,2,1.5,2,1.5,2,1.5,2,2.44392368947969
Ga2CoMn,200,1,0,3.72,5.843,127.25,17,7044.5,6.828408,0.5575,4.4375,1,10.5,6,2.5,-5.5313662501,0.3871953302,22,28.5,6,4.5,0.75,10.5,2.5,8,5,2,5,9,0.1904761905,0.0476190476,0.7619047619,0,15.5,8,9.5,1,3,3,2,2,0,9,0.5,2.5,4,1,0,2,0.5,2.5,2,2,1.5,0.5,1,1,2,2,3.5,1.5,0,0.449520293210205,0.232645812026059,0.216874481184147,7,4,16,4.5,1.5,3,9,138,2.5,2.5,0,7,150,1.81,1.55,1.83,31,25,26,81,60,61,3,7,8,122,150,142,13,7,8,0,2,0.26,0.02,0.28,6,5,1,21,20,1,4,5,1,28,20,8,6,5,1,3,2,1,7.05,114,286,22,532,42,9,0.000310120689655,2.1106628,2.11035267931034,6.33229852068966,0.000155060344828,0,1.05548646034483,1.0553314,1.68,1.81,1.69,1.82,5,3,7.5,5.5,1.5,0,2.5,1,1.5,0.5,3.25,2.25,136,122,146,132,70.5,81,60.5,71,0.5,1,1,1.5,1.5,0.5,2.25,1.25,2.9215
Mg3Ce,3.4,-1,0,0,7.42,156.75,63,2975.75,7.11935125,7.0625,3.3825,0.27,2.25,1,0.375,-2.350846645,0,53,23.5,46,5.5,8.25,2.5,0.75,0.25,1,2.25,9,7,0.8,0,0.1,0.1,2.5,3,0.5,1,2,1,1,0,1,14,0,2.5,0,0,3,0,0,0.5,0,0.5,0,0.5,3,0,3,2.5,0,2.5,2.1428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.12,1.31,12,58,12,73,32,73,2,2,2,141,204,141,2,4,2,0,0,0.19,0,0.19,46,0,46,41,0,41,0,0,0,63,0,63,2,0,2,0,0,0,7.86,72,438,12,846,12,0,0,0,0,0,0,0,0,0,1.215,1.31,1.215,1.31,2,2,2,2,0,0,0,0,1.25,0,1.25,0,172.5,141,172.5,141,52.5,73,52.5,73,1.5,0,1.5,0,0.25,0,0.25,0,3.21295424804027
Mg3Gd,117,1,0,0,7.31,154.75,55,3278.75,7.27212625,4.775,3.3875,0.25,2.25,1,0.375,-2.32030956,0,41,25,52,4,6,4,3,0.25,1,2.25,9,0,0.5,0,0.0625,0.4375,3.5,0,3.5,1,2,1,1,0,1,14,0,3.5,0,0,0,0,0,3.5,0,3.5,0,3.5,0,0,0,3.5,0,3.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.2,1.31,12,64,12,73,27,73,2,2,2,141,196,141,2,10,2,0,0,0.11,0,0.11,52,0,52,46,0,46,0,0,0,55,0,55,8,0,8,0,0,0,7.86,72,438,12,846,12,0,0,0,0,0,0,0,0,0,1.255,1.31,1.255,1.31,2,2,2,2,0,0,0,0,1.75,0,1.75,0,168.5,141,168.5,141,50,73,50,73,0,0,0,0,1.75,0,1.75,0,3.16532285083212
Mg3Nd,6,-1,0,0,7.413,156,60,3056,7.11592625,7.7375,3.385,0.26,2.25,1,0.375,-2.3472920675,0,49,24,48,2.5,3.75,3,1.5,0,0,0,0,8,0.6666666667,0,0,0.3333333333,4.5,6,1.5,1,2,1,1,0,1,14,0,4.5,0,0,6,0,0,1.5,0,1.5,0,1.5,6,0,6,4.5,0,4.5,3.2727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.14,1.31,12,60,12,73,30,73,2,2,2,141,201,141,2,6,2,0,0,0.17,0,0.17,48,0,48,43,0,43,0,0,0,60,0,60,4,0,4,0,0,0,7.86,72,438,12,846,12,0,0,0,0,0,0,0,0,0,1.225,1.31,1.225,1.31,2,2,2,2,0,0,0,0,2.25,0,2.25,0,171,141,171,141,51.5,73,51.5,73,3,0,3,0,0.75,0,0.75,0,3.20992315912702
Mg3Sm,6.5,-1,0,0,7.371,155.25,57,3141.75,7.14560125,6.7625,3.3875,0.25,2.25,1,0.375,-2.3350491413,0,45,24.5,50,2,3,3.5,2.25,0,0,0,0,5,0.5714285714,0,0,0.4285714286,2.5,5,2.5,1,2,1,1,0,1,14,0,2.5,0,0,5,0,0,2.5,0,2.5,0,2.5,5,0,5,2.5,0,2.5,0.7142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.17,1.31,12,62,12,73,28,73,2,2,2,141,198,141,2,8,2,0,0,0.14,0,0.14,50,0,50,45,0,45,0,0,0,57,0,57,6,0,6,9,0,9,7.86,72,438,12,846,12,9,0,0,0,0,0,0,0,0,1.24,1.31,1.24,1.31,2,2,2,2,4.5,0,4.5,0,1.25,0,1.25,0,169.5,141,169.5,141,50.5,73,50.5,73,2.5,0,2.5,0,1.25,0,1.25,0,3.19173662564755
Mn2AlCo,720,1,1,7.4347416,5.838,131.25,18,6635,7.1837045,1.125,4.55,0.9,9,6,2,-7.2167356914,0.3872728603,21,22.5,14,4.5,0.75,6.5,1.75,4.25,7,3.25,5,5,0.3076923077,0.0384615385,0.6538461538,0,10,4,7,3,3,1,0,2,2,1,2.5,4.5,0.5,0,3,1,2.5,1.5,0.5,1,2,1,3,1,2,2,2,4,0,0.862192016439324,0.301000802368554,0.56119121407077,7,4,16,4.5,1.5,3,9,138,2.5,2.5,0,7,150,1.55,1.88,1.61,25,27,13,60,64,80,7,9,3,150,138,121,7,9,13,3,0,0.33,0.06,0.27,2,12,14,4,20,16,2,4,6,12,29,17,2,6,4,3,3,0,6.59,90,264,26,559,36,6,1.54816107931035,0.000310120689655,1.5484712,1.54909144137931,0.000310120689655,0.774390660344827,0.000155060344828,0.7742356,1.55,1.715,1.58,1.745,7,8,5,6,3,1.5,1.5,0,2.5,3.5,1.5,2.5,150,144,135.5,129.5,60,62,70,72,0,1.5,0.5,2,2.5,2,1.5,1,2.919
Mn2AlV,760,1,0,2.0005129,5.897,138,32,5937.5,6.8999995,1.45,4.3375,0.25,8,8,2.5,-7.6814535777,0.0001550603,27,21.5,12,5.5,0.75,5.5,1.5,3.25,5,4.25,7,5,0.3636363636,0.0454545455,0.5909090909,0,7,4,7,3,3,1,0,2,2,1,2.5,1.5,0.5,0,3,1,2.5,1.5,0.5,1,2,1,3,1,2,1,2,1,0,0.585072416571373,0,0.585072416571373,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,1.63,1.61,25,23,13,60,54,80,7,5,3,150,153,121,7,5,13,3,0,0.08,0.06,0.02,2,12,10,6,20,26,2,4,2,3,29,32,2,6,8,2,3,5,6.34,86,254,22,574,32,11,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000155060344828,0.000310120689655,0,0.000155060344828,1.59,1.55,1.62,1.58,6,7,4,5,4,3,2.5,1.5,2,2.5,1,1.5,151.5,150,137,135.5,57,60,67,70,1.5,0,2,0.5,2,2.5,1,1.5,2.9485
Mn2CoGa,718,1,1,7.7869013,5.862,131.5,17,7436,7.18708775,0.795,4.525,1,9,6,2,-7.033443737,0.3872728603,22,27,6,4.5,0.75,9,2,6.75,5,3.25,5,5,0.2222222222,0.0277777778,0.75,0,10,4,7,3,3,1,0,2,2,1,2.5,4.5,0.5,0,3,1,2.5,1.5,0.5,1,2,1,3,1,2,2,2,4,0,0.707699945103867,0.247065905564943,0.460634039538925,7,4,16,4.5,1.5,3,9,138,2.5,2.5,0,7,150,1.55,1.88,1.81,25,27,31,60,64,81,7,9,3,150,138,122,7,9,13,3,0,0.33,0.26,0.07,2,6,4,4,21,17,2,4,6,12,28,16,2,6,4,3,3,0,6.79,108,265,26,560,36,6,1.54816107931035,0.000310120689655,1.5484712,1.54909144137931,0.000310120689655,0.774390660344827,0.000155060344828,0.7742356,1.55,1.715,1.68,1.845,7,8,5,6,3,1.5,1.5,0,2.5,3.5,1.5,2.5,150,144,136,130,60,62,70.5,72.5,0,1.5,0.5,2,2.5,2,1.5,1,2.931
Mn2CoSb,485,1,1,7.6157108,5.904,135.75,13,7634.25,7.83936,1.175,4.6,0.7,9.5,8,2.75,-7.3097204964,0.3872728603,33,32,26,4,1,9.5,2.75,6.75,5,3.25,5,2,0.2105263158,0.0789473684,0.7105263158,0,11,3,8,3,3,1,0,2,2,1,2.5,4.5,1.5,0,3,0,2.5,1.5,1.5,1,1,0,3,0,3,2,1,3,0,0.580960527194056,0.20281976809765,0.378140759096406,7,4,16,4.5,1.5,3,9,138,2.5,2.5,0,7,150,1.55,1.88,2.05,25,27,51,60,64,88,7,9,5,150,138,139,7,9,15,3,0,0.33,0.5,0.17,2,26,24,4,28,24,2,2,4,12,11,1,2,8,6,3,3,0,7.03,128,272,28,577,38,6,1.54816107931035,0.000310120689655,1.5484712,1.54909144137931,0.000310120689655,0.774390660344827,0.000155060344828,0.7742356,1.55,1.715,1.8,1.965,7,8,6,7,3,1.5,1.5,0,2.5,3.5,2,3,150,144,144.5,138.5,60,62,74,76,0,1.5,0,1.5,2.5,2,2,1.5,2.952
Mn2CoSn,580,1,1,8.4499163,6.058,135.75,13,7787.5,7.5232425,1.06,4.5375,0.95,9.25,7,2.375,-7.2706416839,0.3872728603,28,31.75,25,4.25,0.75,9.25,2.375,6.75,5,3.25,5,5,0.2162162162,0.0540540541,0.7297297297,0,9.5,4,7.5,3,3,1,0,2,2,1,2.5,4.5,0,0,3,1,2.5,1.5,1,1,1.5,0.5,3,1,2,2,2.5,4.5,0,0.587123347221735,0.204971276970169,0.382152070251566,7,4,16,4.5,1.5,3,9,138,2.5,2.5,0,7,150,1.55,1.88,1.96,25,27,50,60,64,83,7,9,4,150,138,139,7,9,14,3,0,0.33,0.41,0.08,2,25,23,4,23,19,2,3,5,12,11,1,2,7,5,3,3,0,6.94,127,267,27,577,37,6,1.54816107931035,0.000310120689655,1.5484712,1.54909144137931,0.000310120689655,0.774390660344827,0.000155060344828,0.7742356,1.55,1.715,1.755,1.92,7,8,5.5,6.5,3,1.5,1.5,0,2.5,3.5,1.25,2.25,150,144,144.5,138.5,60,62,71.5,73.5,0,1.5,0.5,2,2.5,2,1.75,1.25,3.029
Mn2GaV,768,1,0,1.9781812,6.095,138.25,31,6738.5,6.90338275,1.285,4.3125,0.35,8,8,2.5,-7.4981616233,0.0001550603,28,26,8,5.5,0.75,8,2.5,5.75,7,4.25,7,0,0.25,0.03125,0.71875,0,7,4,7,3,3,1,0,2,2,1,2.5,1.5,0.5,0,3,1,2.5,1.5,0.5,1,2,1,3,1,2,1,2,1,0,0.476601929404275,0,0.476601929404275,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,1.63,1.81,25,23,31,60,54,81,7,5,3,150,153,122,7,5,13,3,0,0.08,0.26,0.18,2,6,8,6,21,27,2,4,2,3,28,31,2,6,8,2,3,5,6.54,104,255,22,575,32,11,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000155060344828,0.000310120689655,0,0.000155060344828,1.59,1.55,1.72,1.68,6,7,4,5,4,3,2.5,1.5,2,2.5,1,1.5,151.5,150,137.5,136,57,60,67.5,70.5,1.5,0,2,0.5,2,2.5,1,1.5,3.0475
Mn2GeRu,303,1,0,7.2465417,5.936,136,26,8158.25,7.5319925,1.36,4.7125,0.95,9,7,2.5,-7.9629509039,0.0001550603,27,31.5,19,4.5,0.5,9,2.5,6.75,5,3.25,5,8,0.1944444444,0.0555555556,0.75,0,10,4,8,3,3,1,0,2,2,1,2.5,5,0,0,3,1,2.5,2,1,0.5,1.5,1,3,1,2,2.5,2.5,5,0,0.387452325323855,0,0.387452325323855,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,2.2,2.01,25,44,32,60,62,84,7,8,4,150,146,120,7,8,14,3,0,0.65,0.46,0.19,19,7,12,2,24,22,1,3,4,4,30,26,1,7,6,3,3,0,7.31,126,266,26,566,36,6,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000155060344828,0.000310120689655,0,0.000155060344828,1.875,1.55,2.105,1.78,7.5,7,6,5.5,1.5,3,0,1.5,3.75,2.5,2.5,1.25,148,150,133,135,61,60,73,72,1.5,0,2,0.5,2.25,2.5,1.5,1.75,2.968
Mn2NiSn,565,1,1,7.2081948,6.099,135.25,15,7789.5,7.46294,1.235,4.5625,1.05,9.5,7,2.5,-6.8871255402,0.1490037353,28,32,25,4,1,9.5,2.5,7,5,3,5,5,0.2105263158,0.0526315789,0.7368421053,0,9,4,7,3,3,1,0,2,2,1,2.5,4,0,0,3,1,2.5,1,1,1.5,1.5,0,3,1,2,1.5,2.5,4,0,0.586778715041578,0.204307658719389,0.38247105632219,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.55,1.91,1.96,25,28,50,60,67,83,7,10,4,150,124,139,7,10,14,3,0,0.36,0.41,0.05,3,25,22,7,23,16,3,3,6,26,11,15,3,7,4,3,3,0,6.97,128,270,28,563,38,6,0.595084579310345,0.000310120689655,0.5953947,0.59601494137931,0.000310120689655,0.297852410344827,0.000155060344828,0.29769735,1.55,1.73,1.755,1.935,7,8.5,5.5,7,3,1.5,1.5,0,2.5,3.25,1.25,2,150,137,144.5,131.5,60,63.5,71.5,75,0,1.5,0.5,2,2.5,1.75,1.75,1,3.0495
Mn2RuSn,272,1,1,7.803728,6.212,140.75,7,8655,7.393115,0.9025,4.6125,1.25,9,7,2.5,-7.7992027902,0.0001550603,28,36,25,4.5,0.5,9,2.5,6.75,5,3.25,5,5,0.1944444444,0.0555555556,0.75,0,10,4,8,3,3,1,0,2,2,1,2.5,5,0,0,3,1,2.5,2,1,0.5,1.5,1,3,1,2,2.5,2.5,5,0,0.33330520300717,0,0.33330520300717,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,2.2,1.96,25,44,50,60,62,83,7,8,4,150,146,139,7,8,14,3,0,0.65,0.41,0.24,19,25,6,2,23,21,1,3,4,4,11,7,1,7,6,3,3,0,7.26,144,265,26,585,36,6,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000310120689655,0.000155060344828,0.000155060344828,0,1.55,1.875,1.755,2.08,7,7.5,5.5,6,3,1.5,1.5,0,2.5,3.75,1.25,2.5,150,148,144.5,142.5,60,61,71.5,72.5,0,1.5,0.5,2,2.5,2.25,1.75,1.5,3.106
Mn2SnW,258,1,0,0.0063713,6.317,144.75,23,10375,7.5189975,1.09,4.4625,0.65,8.5,8,2.75,-8.7402445527,0.0001550603,29,43.5,49,5,0.5,12,5,6,6,4,6,4,0.1666666667,0.0416666667,0.5,0.2916666667,5,3,8,3,3,1,0,2,2,1,2.5,0,0,0,2,1,2.5,2,1,0.5,1.5,1,2,1,1,2.5,2.5,0,0,0.266414013720616,0,0.266414013720616,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,2.36,1.96,25,74,50,60,55,83,7,6,4,150,162,139,7,6,14,3,0,0.81,0.41,0.4,49,25,24,5,23,28,1,3,2,12,11,23,1,7,8,1,3,4,7.42,174,258,24,601,34,10,0.000310120689655,0.000310120689655,0,0.00062024137931,0.000155060344828,0.000310120689655,0,0.000155060344828,1.955,1.55,2.16,1.755,6.5,7,5,5.5,3.5,3,2,1.5,1.25,2.5,0,1.25,156,150,150.5,144.5,57.5,60,69,71.5,1,0,1.5,0.5,2.25,2.5,1.5,1.75,3.1585
Mn3Si,25.8,-1,0,2.1210693,5.72,132,28,6185,7.613435,1.45125,4.5125,0.25,8.75,7,2.625,-8.121653439,0.0002325905,26,22.25,11,4.75,0.375,6.25,1.125,3.75,5,3.75,5,5,0.32,0.08,0.6,0,15,1,16,3,1,3,2,0,2,6,2.5,0,2.5,0,1,0,2.5,1,2.5,1.5,0,1.5,1,0,1,2.5,0,2.5,0,0.85440356069103,0,0.85440356069103,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,1.55,1.9,1.55,25,14,25,60,85,60,7,4,7,150,111,150,7,14,7,3,3,0.35,0,0.35,11,0,11,25,0,25,3,0,3,39,0,39,7,0,7,3,0,3,9.3,150,360,42,900,42,18,0.000310120689655,0,0.000310120689655,0.00186072413793,0.000155060344828,0.000310120689655,0.000155060344828,0.000310120689655,1.725,1.55,1.725,1.55,5.5,7,5.5,7,1.5,3,1.5,3,1.25,2.5,1.25,2.5,130.5,150,130.5,150,72.5,60,72.5,60,0.5,0,0.5,0,1.75,2.5,1.75,2.5,2.47683265482349
Ni2AlMn,365,1,0,4.0599384,5.824,127,18,6996.5,7.174847,0.975,4.7625,1,10,6,1.5,-5.9646593776,0.2977748802,21,23.5,15,3.5,1.5,7.5,2.5,5.25,8,2.25,5,8,0.2666666667,0.0333333333,0.7,0,11,7,5,3,3,1,0,2,2,1,4,2.5,0.5,3,0,1,1,2.5,0.5,1.5,0.5,2,3,2,1,1.5,3.5,2,0,0.864622807796509,0.588976619211508,0.275646188585,6.5,3.5,17,4,1,3,10,124,2.5,2.5,0,7,150,1.91,1.55,1.61,28,25,13,67,60,80,10,7,3,124,150,121,10,7,13,0,0,0.36,0.3,0.06,3,15,12,7,13,20,3,7,4,26,3,29,3,3,6,3,0,3,6.98,94,274,30,519,40,3,0.595084579310345,0.5953947,0.000310120689655,1.19109952068966,0.297852410344827,0.5953947,0.000155060344828,0.29769735,1.73,1.91,1.58,1.76,8.5,10,5,6.5,1.5,0,1.5,0,3.25,4,1.5,2.25,137,124,135.5,122.5,63.5,67,70,73.5,1.5,3,0.5,2,1.75,1,1.5,0.75,2.912
